name,id,state,planType,year,nDistricts,modified,filename
"VA 2020 Congressional",28033d62-2027-4661-95d0-557621f823e9,VA,congress,2020,11,2022-06-12,"VA 2020 Congressional.csv"
"VA 2020 State House",b3ec72b3-0825-4baf-adb9-024486acd234,VA,lower,2020,100,,"VA 2020 State House.csv"
"VA 2020 State Senate",51e12bec-1f75-4a73-9cc3-975b959e293b,VA,upper,2020,40,2021-11-09,"VA 2020 State Senate.csv"
"VA 2022 Congressional",bc930c25-236f-46a7-bbe9-d8d77e21d011,VA,congress,2022,11,2022-03-04,"VA 2022 Congressional.csv"
"VA 2022 State House",fa427b6b-e057-43e9-8000-9d1ae319870e,VA,lower,2022,100,2022-03-04,"VA 2022 State House.csv"
"VA 2022 State Senate",1b489a5a-f457-428d-b552-9ede8ceb9b99,VA,upper,2022,40,2022-03-04,"VA 2022 State Senate.csv"
"VT 2018 Lower State House",48582d9b-ef19-49ef-90dc-229c6a38e808,VT,lower,2018,104,,"VT 2018 Lower State House.csv"
"VT 2018 Upper State House",44092b13-bf69-4100-b17b-084cd468f40f,VT,upper,2018,13,,"VT 2018 Upper State House.csv"
"VT 2020 State House",a1d50f6d-9296-43a9-ba86-1432b672a86a,VT,lower,2020,104,,"VT 2020 State House.csv"
"VT 2020 State Senate",2826505f-ebf3-40dc-ab8b-099ecc3ff8e4,VT,upper,2020,13,,"VT 2020 State Senate.csv"
"VT 2022 State House",b627a7e1-8c66-4425-80f4-2f2958381ee0,VT,lower,2022,104,,"VT 2022 State House.csv"
"VT 2022 State Senate",1cdffaa1-c558-45d1-83f3-8d1dd5f7f203,VT,upper,2022,13,2022-04-26,"VT 2022 State Senate.csv"
"WA 116th Congressional",1ecd2316-a828-4da3-8fd6-52bfc6345df2,WA,congress,115,10,,"WA 116th Congressional.csv"
"WA 2018 Lower State House",333ad7d0-2466-422c-8fab-0b822b9ef158,WA,lower,2018,49,,"WA 2018 Lower State House.csv"
"WA 2020 Congressional",66454011-b7c9-4302-a075-0e1146d07d54,WA,congress,2020,10,,"WA 2020 Congressional.csv"
"WA 2020 State Legislatures",e68b6091-ab0b-4ff4-85ed-7ceb86d89053,WA,upper,2020,49,,"WA 2020 State Legislatures.csv"
"WA 2022 Congressional",3dd8f07d-8f9b-4905-a155-573bdc084b06,WA,congress,2022,10,2022-02-10,"WA 2022 Congressional.csv"
"WA 2022 State Legislatures",3e3c5f5c-3a83-4847-b1d8-5328fb3b9e31,WA,upper,2022,49,,"WA 2022 State Legislatures.csv"
"WA 2024 State Legislatures",bab1e382-9bf0-4d3f-84df-7310e9b04184,WA,upper,2024,49,,"WA 2024 State Legislatures.csv"
"WI 116th Congressional",d604d323-9bba-4ab1-a794-2f32ff7932b0,WI,congress,115,8,,"WI 116th Congressional.csv"
"WI 2018 Lower State House",eed28c2e-d221-4c13-bff4-ad2f0cd7a773,WI,lower,2018,99,,"WI 2018 Lower State House.csv"
"WI 2018 Upper State House",75d8e83e-469c-4888-9fd4-c3d4df70802a,WI,upper,2018,33,2021-05-02,"WI 2018 Upper State House.csv"
"WI 2020 Congressional",7d07ec5b-34c7-42a4-bd43-cc076bf366d6,WI,congress,2020,8,2021-12-23,"WI 2020 Congressional.csv"
"WI 2020 State House",a355b8c9-3876-46ac-95f6-02fe5cff742c,WI,lower,2020,99,,"WI 2020 State House.csv"
"WI 2020 State Senate",a10ad20a-38fe-4b45-a33d-f6a7658ded24,WI,upper,2020,33,,"WI 2020 State Senate.csv"
"WI 2022 Congressional",aa64c8f5-837c-474f-819f-6eaa1094d776,WI,congress,2022,8,2022-03-06,"WI 2022 Congressional.csv"
"WI 2022 State House",6a8a362d-0c59-4d81-aea3-28cba004b502,WI,lower,2022,99,2022-06-28,"WI 2022 State House.csv"
"WI 2022 State Senate",cb8ed0b5-013f-4b1a-ba49-1b03445416c9,WI,upper,2022,33,2022-08-25,"WI 2022 State Senate.csv"
"WI 2024 State House",c4f3821b-51c4-4f41-99d8-c4c9d67e116f,WI,lower,2024,99,,"WI 2024 State House.csv"
"WI 2024 State Senate",1d0da539-5574-428f-8f96-6238b9509ea6,WI,upper,2024,33,2024-02-19,"WI 2024 State Senate.csv"
"WV 116th Congressional",c0cbb3ea-7c35-4bd3-be17-84a5626004e3,WV,congress,115,3,,"WV 116th Congressional.csv"
"WV 2018 Lower State House",75694017-79d7-478f-92d1-c92316e04541,WV,lower,2018,67,,"WV 2018 Lower State House.csv"
"WV 2018 Upper State House",4c7cdf16-5542-4788-a8fa-8c98c32bb365,WV,upper,2018,17,,"WV 2018 Upper State House.csv"
"WV 2020 Congressional",8011bcb2-469b-4546-a6b8-27259586d5a3,WV,congress,2020,3,,"WV 2020 Congressional.csv"
"WV 2020 State House",a63592c7-2f60-4f52-b209-43765ee91f6e,WV,lower,2020,67,,"WV 2020 State House.csv"
"WV 2020 State Senate",66a6d69d-bcd7-44ab-a986-db9dba972e0a,WV,upper,2020,17,,"WV 2020 State Senate.csv"
"WV 2022 Congressional",aaaa571f-f204-4cbe-bcf1-404db0519d36,WV,congress,2022,2,2021-11-16,"WV 2022 Congressional.csv"
"WV 2022 State House",bd6eb9ac-ac94-465f-82d6-4e086307d5e5,WV,lower,2022,67,,"WV 2022 State House.csv"
"WV 2022 State Senate",c3ca956f-0b1d-4750-894d-b2e9dadc642c,WV,upper,2022,17,2021-11-16,"WV 2022 State Senate.csv"
"WY 2018 Lower State House",bf6e11ff-1f0f-476f-9e59-a71e9e9a37d4,WY,lower,2018,60,,"WY 2018 Lower State House.csv"
"WY 2018 Upper State House",f6a301b6-f0f1-4ca1-b0a2-6042bce68915,WY,upper,2018,30,,"WY 2018 Upper State House.csv"
"WY 2020 State House",0595f457-19bb-4433-8b08-e4e961309963,WY,lower,2020,60,,"WY 2020 State House.csv"
"WY 2020 State Senate",ba7ba269-14e2-4936-a04a-6cd2a57182f0,WY,upper,2020,30,,"WY 2020 State Senate.csv"
"WY 2022 State House",483d3157-343b-451f-9a0e-aebef749205f,WY,lower,2022,62,,"WY 2022 State House.csv"
"WY 2022 State Senate",e2618faf-bad1-4bb1-9a85-7e1c2ccdef91,WY,upper,2022,31,,"WY 2022 State Senate.csv"
"DC 2012 Council",b187c749-1cc0-44ca-bdec-cc72052f1567,DC,upper,2012,8,,"DC 2012 Council.csv"
"DC 2022 Council",0085842e-3e38-4a72-9df2-7374a1f5250e,DC,upper,2022,8,,"DC 2022 Council.csv"
